order_date,order_year,order_month,day_number,order_quarter,order_week,order_month_period,order_quarter_period,week_number_yearly,week_number_monthly,weekday_name,weekday_number,is_weekday,is_payday,customer_type,vendor_code,unique_order_count,total_order_items,order_total_value_DKK,order_current_value_DKK,return_rate,order_total_AOV,order_current_AOV,avg_order_items
2022-07-10,2022,7,10,3,27,2022-07,2022Q3,28,2,Sunday,7,Weekend,Non-Payday,New customer,DE,16,47,14755.357799999998,14159.6022,0.040375544129468595,922.20986249999987,884.9751375,2.9375
2022-07-10,2022,7,10,3,27,2022-07,2022Q3,28,2,Sunday,7,Weekend,Non-Payday,New customer,DK,17,52,14691.439999999999,14691.439999999999,0,864.2023529411764,864.2023529411764,3.0588235294117645
2022-07-10,2022,7,10,3,27,2022-07,2022Q3,28,2,Sunday,7,Weekend,Non-Payday,New customer,US,11,19,15489.242999999999,15489.242999999999,0,1408.1129999999998,1408.1129999999998,1.7272727272727273
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,Existing customer,COM,3,13,12734.966000000002,12734.966000000002,0,4244.9886666666671,4244.9886666666671,4.333333333333333
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,Existing customer,DK,1,1,235.8,235.8,0,235.8,235.8,1
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,New customer,COM,34,203,67516.357,66597.7326,0.013605953295140029,1985.775205882353,1958.7568411764707,5.9705882352941178
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,New customer,DE,17,101,65791.75420000001,65512.0042,0.0042520526075288511,3870.1031882352945,3853.6473058823531,5.9411764705882355
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,New customer,DK,13,64,13271.4,13271.4,0,1020.876923076923,1020.876923076923,4.9230769230769234
2022-07-11,2022,7,11,3,28,2022-07,2022Q3,29,2,Monday,1,Weekday,Non-Payday,New customer,US,9,17,51150.33,50013.81,0.022219211488958213,5683.37,5557.09,1.8888888888888888
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,Existing customer,COM,1,1,1174.95,1174.95,0,1174.95,1174.95,1
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,Existing customer,DE,1,1,161.65820000000002,161.65820000000002,0,161.65820000000002,161.65820000000002,1
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,New customer,COM,50,188,50384.5416,48339.6064,0.040586559588744971,1007.6908319999999,966.79212799999993,3.76
